[2026-04-15 15:11:49] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'GUILD_CREATE', 's': 2, 'op': 0, 'd': {'premium_tier': 0, 'splash': None, 'rules_channel_id': None, 'roles': [{'version': 1774339152572, 'unicode_emoji': None, 'tags': {}, 'position': 0, 'permissions': '2248473465835073', 'name': '@everyone', 'mentionable': False, 'managed': False, 'id': '1485910845333442633', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}, {'version': 1775467032572, 'unicode_emoji': None, 'tags': {'bot_id': '1485595275258101900'}, 'position': 2, 'permissions': '8', 'name': 'herbsbot', 'mentionable': False, 'managed': True, 'id': '1485911686551572525', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}, {'version': 1775467032831, 'unicode_emoji': None, 'tags': {}, 'position': 1, 'permissions': '0', 'name': 'Admin', 'mentionable': False, 'managed': False, 'id': '1490641426005102632', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 15158332}, 'color': 15158332}], 'explicit_content_filter': 0, 'stage_instances': [], 'premium_features': None, 'profile': None, 'owner_configured_content_level': 0, 'presences': [], 'max_members': 25000000, 'afk_timeout': 300, 'id': '1485910845333442633', 'incidents_data': None, 'voice_states': [], 'verification_level': 0, 'member_count': 3, 'name': 'Test server', 'default_message_notifications': 0, 'application_id': None, 'unavailable': False, 'joined_at': '2026-03-24T08:02:33.094000+00:00', 'emojis': [], 'threads': [], 'region': 'deprecated', 'embedded_activities': [], 'lazy': True, 'system_channel_id': '1485910846008983793', 'soundboard_sounds': [], 'official_message_color': None, 'game_application_ids': None, 'activity_instances': [], 'stickers': [], 'owner_id': '1476250480408531137', 'description': None, 'afk_channel_id': None, 'members': [{'user': {'username': 'herbsbot', 'public_flags': 0, 'primary_guild': None, 'id': '1485595275258101900', 'global_name': None, 'display_name_styles': None, 'display_name': None, 'discriminator': '9471', 'collectibles': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': None}, 'roles': ['1485911686551572525'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2026-03-24T08:02:33.094000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}], 'moderator_reporting': None, 'guild_scheduled_events': [], 'max_video_channel_users': 25, 'application_command_counts': {}, 'discovery_splash': None, 'nsfw_level': 0, 'public_updates_channel_id': None, 'safety_alerts_channel_id': None, 'mfa_level': 0, 'inventory_settings': None, 'latest_onboarding_question_id': None, 'home_header': None, 'large': False, 'premium_progress_bar_enabled_user_updated_at': None, 'premium_progress_bar_enabled': False, 'nsfw': False, 'features': [], 'preferred_locale': 'en-US', 'version': 1774948308028, 'verification_role_id': None, 'icon': None, 'system_channel_flags': 0, 'experiments': {'evaluation_id': None, 'assignments': []}, 'premium_subscription_count': 0, 'channels': [{'version': 1774339152580, 'type': 4, 'position': 0, 'permission_overwrites': [], 'name': 'Text Channels', 'id': '1485910846008983791', 'flags': 0}, {'version': 1774339152584, 'type': 4, 'position': 0, 'permission_overwrites': [], 'name': 'Voice Channels', 'id': '1485910846008983792', 'flags': 0}, {'version': 1774339152599, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 0, 'permission_overwrites': [], 'parent_id': '1485910846008983791', 'name': 'general', 'last_message_id': '1493927524194058260', 'id': '1485910846008983793', 'icon_emoji': {'name': '👋', 'id': None}, 'flags': 0}, {'version': 1774339152615, 'user_limit': 0, 'type': 2, 'status': None, 'rtc_region': None, 'rate_limit_per_user': 0, 'position': 0, 'permission_overwrites': [], 'parent_id': '1485910846008983792', 'name': 'General', 'last_message_id': None, 'id': '1485910846008983794', 'icon_emoji': {'name': '🎙', 'id': None}, 'flags': 0, 'bitrate': 64000}, {'version': 1776243551319, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 1, 'permission_overwrites': [], 'parent_id': '1485910846008983791', 'nsfw': False, 'name': 'streaming-logs', 'last_message_id': '1493946736891396238', 'id': '1493898473261764668', 'flags': 0}, {'version': 1776246278895, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 2, 'permission_overwrites': [], 'parent_id': '1485910846008983791', 'nsfw': False, 'name': 'check-in-responses', 'last_message_id': '1493910104079204383', 'id': '1493909913544691712', 'flags': 0}], 'banner': None, 'vanity_url_code': None, 'max_stage_video_channel_users': 50, 'hub_type': None}}
[2026-04-15 15:11:49] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2026-04-15 15:11:50] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'GUILD_MEMBERS_CHUNK', 's': 3, 'op': 0, 'd': {'nonce': '9ce0d5d32f661152d3158790297df7dd', 'members': [{'user': {'username': 'serivos', 'public_flags': 0, 'primary_guild': {'tag': 'NGA', 'identity_guild_id': '868243623962083348', 'identity_enabled': True, 'badge': '21129b437afdc5d4c56b399d9d86e25d'}, 'id': '345710426077528066', 'global_name': 'Oligarca Narigón', 'display_name_styles': None, 'display_name': 'Oligarca Narigón', 'discriminator': '0', 'collectibles': None, 'bot': False, 'avatar_decoration_data': None, 'avatar': 'f58642de31e120de375694a1b8f2c636'}, 'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2026-04-15T10:53:10.748276+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, {'user': {'username': 'mohammadsalmansunakal', 'public_flags': 0, 'primary_guild': None, 'id': '1476250480408531137', 'global_name': 'salmanDN', 'display_name_styles': None, 'display_name': 'salmanDN', 'discriminator': '0', 'collectibles': None, 'bot': False, 'avatar_decoration_data': None, 'avatar': 'ce11d724f9db55950eac6bde2e3b1e57'}, 'roles': ['1490641426005102632'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2026-03-24T07:59:12.515000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, {'user': {'username': 'herbsbot', 'public_flags': 0, 'primary_guild': None, 'id': '1485595275258101900', 'global_name': None, 'display_name_styles': None, 'display_name': None, 'discriminator': '9471', 'collectibles': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': None}, 'roles': ['1485911686551572525'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2026-03-24T08:02:33.094000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}], 'guild_id': '1485910845333442633', 'chunk_index': 0, 'chunk_count': 1}}
[2026-04-15 15:11:50] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2026-04-15 15:11:50] [DEBUG   ] discord.state: Processed a chunk for 3 members in guild ID 1485910845333442633.
[2026-04-15 15:11:51] [DEBUG   ] discord.client: Dispatching event guild_available
[2026-04-15 15:11:51] [DEBUG   ] discord.client: Dispatching event ready
[2026-04-15 15:11:51] [DEBUG   ] discord.client: on_voice_state_update has successfully been registered as an event
[2026-04-15 15:11:53] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'RATE_LIMITED', 's': 4, 'op': 0, 'd': {'retry_after': 26.727, 'opcode': 8, 'meta': {'nonce': 'b66bd47a0912427ec058785bde69a519', 'guild_id': '1485910845333442633'}}}
[2026-04-15 15:11:53] [DEBUG   ] discord.client: Dispatching event socket_event_type
